Date,Day,StartTime,EndTime,Hours,Location,Type,Event
2025-12-06,Saturday,7:50 PM,9:20 PM,1.5,NSIA NHL,Game,Private
2025-12-07,Sunday,7:40 AM,9:00 AM,1.333,NSIA NHL,Game,Private
2025-12-07,Sunday,9:10 AM,10:10 AM,1.0,NSIA NHL,Game,Private
2025-12-07,Sunday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2025-12-07,Sunday,11:30 AM,12:40 PM,1.167,NSIA NHL,Game,Private
2025-12-07,Sunday,4:20 PM,5:20 PM,1.0,NSIA NHL,Game,Private
2025-12-13,Saturday,8:00 AM,9:00 AM,1.0,NSIA NHL,Game,Private
2025-12-13,Saturday,9:10 AM,10:10 AM,1.0,NSIA NHL,Game,Private
2025-12-13,Saturday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2025-12-13,Saturday,11:40 AM,12:40 PM,1.0,NSIA NHL,Game,Private
2025-12-14,Sunday,1:10 PM,2:20 PM,1.167,NSIA NHL,Game,Private
2025-12-14,Sunday,2:00 PM,3:10 PM,1.167,NSIA NHL,Game,Private
2025-12-14,Sunday,3:10 PM,4:10 PM,1.0,NSIA NHL,Game,Private
2025-12-20,Saturday,3:10 PM,4:10 PM,1.0,NSIA NHL,Game,Private
2025-12-20,Saturday,6:30 PM,7:40 PM,1.167,NSIA NHL,Game,Private
2025-12-21,Sunday,8:00 AM,9:00 AM,1.0,NSIA NHL,Game,Private
2025-12-21,Sunday,9:10 AM,10:10 AM,1.0,NSIA NHL,Game,Private
2025-12-21,Sunday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2025-12-21,Sunday,11:30 AM,12:40 PM,1.167,NSIA NHL,Game,Private
2025-12-27,Saturday,10:20 AM,11:20 AM,1.0,NSIA NHL,Practice,Private
2025-12-27,Saturday,11:30 AM,12:40 PM,1.167,NSIA NHL,Practice,Private
2025-12-28,Sunday,12:40 PM,1:40 PM,1.0,NSIA NHL,Practice,Private
2026-01-03,Saturday,3:10 PM,4:10 PM,1.0,NSIA NHL,Practice,Private
2026-01-03,Saturday,4:20 PM,5:50 PM,1.5,NSIA NHL,Practice,Private
2026-01-03,Saturday,6:00 PM,7:30 PM,1.5,NSIA NHL,Practice,Private
2026-01-04,Sunday,8:00 AM,9:00 AM,1.0,NSIA NHL,Practice,Private
2026-01-04,Sunday,9:10 AM,10:10 AM,1.0,NSIA NHL,Practice,Private
2026-01-04,Sunday,10:20 AM,11:20 AM,1.0,NSIA NHL,Practice,Private
2026-01-04,Sunday,11:30 AM,12:40 PM,1.167,NSIA NHL,Practice,Private
2026-01-10,Saturday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2026-01-10,Saturday,11:30 AM,12:40 PM,1.167,NSIA NHL,Game,Private
2026-01-11,Sunday,12:40 PM,1:40 PM,1.0,NSIA NHL,Game,Private
