Date,Day,StartTime,EndTime,Hours,Location,Type,Event
2025-12-13,Saturday,2:20 PM,3:20 PM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs Sabres
2025-12-13,Saturday,3:40 PM,4:50 PM,1.167,North Shore Ice Arena,Game,Bantam Prospects 2 vs Glenview
2025-12-13,Saturday,5:00 PM,6:00 PM,1.0,North Shore Ice Arena,Game,Bantam Prospects 1 vs Hawks
2025-12-13,Saturday,6:30 PM,7:30 PM,1.0,NSIA Main Rink,Practice,Bashy Bash/Style Big Club
2025-12-14,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Spaulding Ridge vs Northbrook 2
2025-12-14,Sunday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Mite 3 Blues vs Chicago Mission
2025-12-14,Sunday,10:20 AM,11:20 AM,1.0,North Shore Ice Arena,Game,Mite 2 Leafs vs Sabres
2025-12-14,Sunday,11:30 AM,12:30 PM,1.0,NSIA Main Rink,Practice,Squirt Prospects 2
2025-12-20,Saturday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs Bloomington
2025-12-20,Saturday,9:20 AM,10:30 AM,1.167,North Shore Ice Arena,Game,Squirt Prospects 2 vs Chargers
2025-12-20,Saturday,10:40 AM,11:50 AM,1.167,NSIA Main Rink,Practice,Bashy Bash/Style Big Club
2025-12-20,Saturday,12:10 PM,1:10 PM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 2 vs Quad Cities
2025-12-20,Saturday,1:20 PM,2:10 PM,0.833,NSIA Main Rink,Practice,Bratschi Plumbing/Northbrook Dentistry/Nels Johnson/Spaulding Ridge
2025-12-20,Saturday,1:40 PM,2:40 PM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs Jaguars
2025-12-20,Saturday,2:10 PM,3:00 PM,0.833,NSIA Main Rink,Practice,Pee Wee Prospects 1
2025-12-21,Sunday,12:50 PM,2:00 PM,1.167,North Shore Ice Arena,Game,Pee Wee Prospects 1 vs Indy Fuel
2025-12-21,Sunday,3:10 PM,4:10 PM,1.0,NSIA Main Rink,Practice,Mite 5 Major
2025-12-21,Sunday,4:20 PM,5:30 PM,1.167,North Shore Ice Arena,Game,Pee Wee Prospects 1 vs Indy Fuel
2026-01-03,Saturday,10:40 AM,11:50 AM,1.167,North Shore Ice Arena,Game,Squirt Prospects 2 vs Rockford
2026-01-03,Saturday,12:00 PM,1:00 PM,1.0,NSIA Main Rink,Practice,Pee Wee Prospects 3
