Customer,Sept Contracted,Sept Paid,Sept Owed,Nov Contracted,Nov Paid,Nov Owed,Jan Contracted,Jan Paid,Jan Owed,Feb Contracted,Feb Paid,Feb Owed
NT Boys Hockey,189434,47359,142076,189434,94717,94717,189434,123194,66240,189434,146221,43213
NT Girls Hockey,21000,5250,15750,21000,10500,10500,20625,17188,3438,20625,20625,0
Wilmette Hockey Assoc,531079,132770,398309,531079,265540,265540,531079,405000,126079,531079,436520,94559
Winnetka Hockey Club,682451,170611,511840,682451,324426,358025,682451,503921,178530,682451,548553,133898
GVN Hockey,42096,10524,31572,42096,15215,26881,51096,29806,21290,51096,33806,17290
Bar/Restaurant,21000,10850,10150,20626,10000,10625,12000,7000,5000,12000,8000,4000
Total,1487060,377364,1109696,1486685,720398,766287,1486685,1086108,400577,1486685,1193725,292960
